parentUUID,rawTitle,cleanTitle,secondaryLanguageTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
aea9d2aa-7a2a-42ea-b188-583f6beb647c,Tre tigri contro tre tigri,Tre tigri contro tre tigri,,100000,Tre tigri contro tre tigri,100,https://www.imdb.com/title/tt0076839/,Comedy,Film,5.6,333,2,8,25,2,2,2,1,,,,1,3,3,2,2,3,,8,,2,1,2,7
24a95bb2-b609-479c-83ed-e7a6176d66e2,Trailer Park Boys: Don't Legalize It,Trailer Park Boys: Don't Legalize It,,100000,Trailer Park Boys: Don't Legalize It,94.44,https://www.imdb.com/title/tt3244992/,"Comedy, Crime, Drama",Film,7.3,5K,1,2,62,3,,1,1,1,1,1,1,4,2,4,7,7,14,13,3,7,1,1,8
f0a3eda8-942d-4336-bf15-f000fce873e4,Transition,Transition,,100000,Transition,100,https://www.imdb.com/title/tt5212488/,"Drama, Romance",Film,3.8,142,1,1,29,3,1,1,1,,,,,,,,,2,,1,,1,,,2
8b0d9a38-0fad-49c5-9d07-19235c707063,Tramps,Tramps,,100000,Tramps,100,https://www.imdb.com/title/tt4991512/,"Adventure, Romance",Film,6.5,6.2K,1,3,20,13,1,1,2,1,,1,1,2,5,3,,12,,5,,7,3,4,17
c07fec10-f0fe-4ceb-85d3-58eb527d5032,"Trinity, The Nekad Traveler","Trinity, The Nekad Traveler",,100000,"Trinity, The Nekad Traveler",96.3,https://www.imdb.com/title/tt6500168/,"Adventure, Drama, Romance",Film,6.5,118,1,3,13,5,1,1,1,1,1,,,1,,2,,6,,5,2,3,,2,
28985c25-5989-4916-b8c7-6be6fbc2519d,Tres 60,Tres 60,,100000,Tres 60,100,https://www.imdb.com/title/tt2390426/,"Drama, Mystery, Thriller",Film,4.7,468,1,1,18,10,1,1,1,1,,,1,2,1,4,2,14,8,17,1,2,6,1,11
ae00e80c-561c-4590-9dcb-98f0afbf782c,Trick: The Movie 2 // トリック劇場版2,Trick: The Movie 2,,100000,Trick: The Movie 2,94.44,https://www.imdb.com/title/tt0872026/,"Comedy, Crime, Mystery",Film,6.1,333,1,1,15,8,1,1,1,,,,,,,1,,1,,1,,,,,
e82ca9b6-fcfb-4ce4-af19-60118e24b248,Triangle (2009),Triangle,,100000,Triangle,100,https://www.imdb.com/title/tt1187064/,"Fantasy, Mystery, Sci-Fi",Film,6.9,128K,1,1,9,10,1,1,1,2,1,1,1,4,2,8,57,23,16,25,6,5,16,3,51
1a9f2887-8592-4749-9fe2-f5cd160e197d,True Scary Story -Accident property entertainer-4 // 劇場版 ほんとうにあった怖い話〜事故物件芸人4〜,True Scary Story -Accident property entertainer-4,,100000,True Scary Story - Accident Property Entertainer 4,94,https://www.imdb.com/title/tt19878426/,"Comedy, Horror",Film,N/A,N/A,1,1,7,4,,2,1,,,,,1,,1,,1,,2,,,,,
099f4ae0-a554-49eb-9f6a-8462168bbf69,True Scary Story -Accident property entertainer-3 // 劇場版 ほんとうにあった怖い話〜事故物件芸人3〜,True Scary Story -Accident property entertainer-3,,100000,True Scary Story - Accident Property Entertainer 4,92,https://www.imdb.com/title/tt19878426/,"Comedy, Horror",Film,N/A,N/A,1,1,7,4,,2,1,,,,,1,,1,,1,,2,,,,,
